"","Geographic.Area","Sex","X2016_Proportion of health care facilities with basic health care waste management services","X2016_Proportion of health care facilities with limited health care waste management services","X2016_Proportion of health care facilities with no health care waste management service","X2016_Proportion of health care facilities with basic water services","X2016_Proportion of health care facilities with limited water services","X2016_Proportion of health care facilities with no water service","X2016_Proportion of schools with basic drinking water services","X2016_Proportion of schools with limited drinking water services","X2016_Proportion of schools with no drinking water service","X2017_Proportion of population using at least basic drinking water services","X2017_Proportion of population using improved drinking water sources free of faecal and priority chemical contamination","X2017_Proportion of population using basic drinking water services","X2017_Proportion of the population using of improved drinking water sources free of faecal and priority chemical contamination","X2017_Proportion of population using improved drinking water sources","X2017_Proportion of population using limited drinking water services","X2017_Proportion of population using non-piped improved drinking water sources","X2017_Proportion of population using improved drinking water sources located on premises","X2017_Proportion of population using piped drinking water sources","X2017_Proportion of population using safely managed drinking water services","X2017_Proportion of population using surface water","X2017_Proportion of population using unimproved drinking water sources","X2017_Proportion of population with a handwashing facility with soap and water available at home","X2017_Proportion of population with a limited handwashing facility","X2017_Proportion of population with no handwashing facility at home","X2017_Proportion of population using at least basic sanitation services","X2017_Proportion of population using basic sanitation services","X2017_Proportion of population using on-site sanitation facilities with human waste disposed in situ","X2017_Proportion of population using of on-site sanitation facilities with human waste treated off-site","X2017_Proportion of population using improved sanitation facilities"
"59","Mozambique","Total",NA,NA,NA,NA,NA,20,NA,NA,69,55.693977,NA,NA,NA,70.664955,14.970977,35.097733,21.392826,35.567219,NA,13.180686,16.154362,NA,NA,NA,29.360294,NA,NA,NA,34.056286
"60","South Sudan","Total",NA,NA,NA,NA,NA,35.503685,NA,NA,62.610554,40.676014,NA,NA,NA,74.337433,33.661419,71.058456,2.523741,3.2789707,NA,9.0781755,16.584394,NA,NA,NA,11.321684,NA,NA,NA,19.099083
"61","Saint Vincent and the Grenadines","Total",NA,NA,NA,NA,NA,0,100,0,0,95.145218,69.836594,NA,NA,95.145218,0,2.1784184,93.679337,92.966805,NA,NA,4.8547802,NA,NA,NA,87.184341,NA,NA,NA,90.159615
"62","Tunisia","Total",NA,NA,NA,NA,NA,4.6700001,69.5,18.8279,11.672099,NA,NA,3.5971792,98.218521,98.218521,1.9638191,5.9112391,92.657524,92.307281,92.657524,0,1.7814773,78.68689,4.8326921,16.480417,NA,12.803134,12.544673,12.402847,95.92762
"63","Guyana","Total",NA,NA,NA,NA,NA,22.786602,NA,NA,NA,95.539749,NA,NA,NA,96.749077,1.209327,31.389502,94.389153,65.359573,NA,2.1039817,1.1469437,77.159416,11.072604,11.767981,85.7631,NA,NA,NA,96.015259
"64","Timor-Leste","Total",NA,NA,NA,NA,NA,4.1095891,NA,NA,NA,78.343864,NA,NA,NA,80.652283,2.3084185,16.100557,66.499832,64.551727,NA,4.4287143,14.919002,28.178228,64.580101,7.2416706,53.519009,NA,NA,NA,62.596699
"65","Cambodia","Total",NA,NA,NA,NA,NA,6.0039611,NA,NA,51.299999,NA,NA,52.665108,25.845549,78.94635,0.43569219,52.818466,61.248558,26.127882,25.845549,10.86448,10.189171,66.228622,12.596601,21.174778,59.226967,NA,NA,NA,65.695984
"66","Grenada","Total",NA,NA,NA,NA,NA,0,100,0,0,NA,92.251007,8.513382,87.115265,96.790131,1.1614816,4.4637861,89.917679,92.326347,87.115265,3.209868,0,NA,NA,NA,91.493889,NA,NA,NA,93.706848
"67","Namibia","Total",NA,NA,NA,NA,NA,0.81707317,76.409637,14.21484,9.3755217,82.5411,NA,NA,NA,89.67205,7.1309505,10.399355,60.152988,79.272697,NA,6.3370929,3.9908578,44.599903,43.410393,11.989702,34.503738,NA,NA,NA,46.933117
"68","State of Palestine","Total",NA,NA,NA,NA,NA,2.0999999,80.432091,18.235748,1.3321615,96.826897,88.242966,NA,NA,97.330338,0.50344354,43.184494,88.638741,54.145847,NA,NA,2.6696601,NA,NA,NA,NA,35.695847,13.847646,10.279554,99.836403
"69","Gambia","Total",NA,NA,NA,NA,NA,4,NA,NA,25.29401,77.99157,NA,NA,NA,87.077766,9.0862017,15.205538,44.466099,71.872231,NA,0.0024763392,12.919755,7.8762665,15.112188,77.011543,39.231152,NA,NA,NA,66.251144
"70","Bolivia (Plurinational State of)","Total",NA,NA,NA,NA,NA,12.986794,NA,NA,NA,92.848732,NA,NA,NA,92.931084,0.08234971,21.909187,91.54715,71.021896,NA,5.4732785,1.5956366,25.382898,15.280419,59.336681,NA,37.778667,9.2505789,2.7113447,78.019066
"71","India","Total",NA,NA,NA,NA,NA,9.2433004,68.961853,22.307711,8.7304392,92.674644,81.695114,NA,NA,93.439133,0.76448894,49.696701,63.198956,43.742432,NA,0.75357336,5.8072953,59.549686,37.706413,2.743901,59.543449,NA,NA,NA,72.046188
"72","Eswatini","Total",NA,NA,NA,NA,NA,0,NA,NA,10.735398,69.008652,NA,NA,NA,78.27079,9.2621384,17.264296,49.554691,61.006496,NA,13.079834,8.6493731,24.096964,31.456587,44.446449,58.351982,NA,NA,NA,85.040405
"73","Antigua and Barbuda","Total",NA,NA,NA,NA,NA,0,NA,NA,NA,96.739189,89.870705,NA,NA,96.739189,0,2.4203162,74.761292,94.318871,NA,0.094466113,3.1663475,NA,NA,NA,87.50428,NA,NA,NA,91.678864
"74","Philippines","Total",NA,NA,NA,NA,NA,19.5,50.307117,12.085923,37.60696,NA,85.194389,46.914356,46.654018,95.426315,1.8579377,55.310162,72.609825,40.11615,46.654018,0,4.5736861,78.462959,11.798667,9.7383699,NA,24.893362,49.850548,0,91.41787
"75","Suriname","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.424744,54.055149,NA,NA,96.631668,1.2069242,17.928154,91.645798,78.703514,NA,NA,3.3683307,NA,NA,NA,84.457581,NA,NA,NA,95.011871
"76","Sao Tome and Principe","Total",NA,NA,NA,NA,NA,NA,NA,NA,11.061941,84.290161,NA,NA,NA,96.757507,12.467351,3.0237582,37.829567,93.733749,NA,2.5732143,0.66927528,41.339874,13.841012,44.819115,42.974945,NA,NA,NA,49.060665
"77","Falkland Islands (Malvinas)","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.024742,NA,NA,NA,95.024742,0,4.9752593,92.537117,90.049484,NA,0,4.975255,NA,NA,NA,100,NA,NA,NA,100
"78","Nauru","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.484932,NA,NA,NA,99.484932,0,46.664635,98.888023,52.820301,NA,0,0.51506561,NA,NA,NA,65.595528,NA,NA,NA,96.322357
"79","Panama","Total",NA,NA,NA,NA,NA,NA,NA,NA,19.726507,96.382416,84.166,NA,NA,98.298935,1.9165162,5.2887845,95.835449,93.010147,NA,0.60314107,1.0979239,NA,NA,NA,83.31546,NA,NA,NA,89.091782
"80","Faroe Islands","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,0,0,100,100,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"81","Cuba","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.327583,NA,NA,NA,97.384186,2.0566034,17.879539,93.711525,79.504646,NA,0.41778326,2.1980312,85.198204,10.064415,4.7373776,NA,48.473064,16.16115,7.0609078,95.833328
"82","Bermuda","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.903137,NA,NA,NA,99.903137,0,0.096859984,99.856514,99.806282,NA,0,0.096859984,NA,NA,NA,99.903137,NA,NA,NA,99.903137
"83","Palau","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,100,0,0.61905003,100,99.380951,NA,0,2.1944736e-06,NA,NA,NA,100,NA,NA,NA,100
"84","Belize","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,97.992577,NA,NA,NA,99.235298,1.2427157,13.454218,96.407127,85.781075,NA,0,0.76470453,90.082764,8.9833126,0.93392116,87.858521,NA,NA,NA,96.889038
"85","Saint Lucia","Total",NA,NA,NA,NA,NA,NA,99.290001,NA,NA,98.162003,NA,NA,NA,100,1.8380008,4.0036526,95.500473,95.996353,NA,0,0,NA,NA,NA,88.352905,NA,NA,NA,99.182312
"86","Kiribati","Total",NA,NA,NA,NA,NA,NA,NA,NA,33.844196,71.615974,NA,NA,NA,72.502861,0.88688517,48.83046,60.899448,23.672403,NA,0,27.497137,NA,NA,NA,47.802891,NA,NA,NA,61.10434
"87","Tuvalu","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.27224,NA,NA,NA,99.27224,0,0,96.988976,99.27224,NA,0,0.72776002,NA,NA,NA,NA,77.763077,6.3153987,0,91.497162
"88","Brazil","Total",NA,NA,NA,NA,NA,NA,NA,NA,16.771303,98.19339,90.061424,NA,NA,98.445694,0.25230277,1.1871431,98.19339,97.258553,NA,NA,1.5543073,NA,NA,NA,NA,39.018063,7.52702,4.2581658,88.540611
"89","Rwanda","Total",NA,NA,NA,NA,NA,NA,44.16,NA,NA,57.71328,NA,NA,NA,79.472298,21.75902,42.240265,11.045288,37.232033,NA,6.4434953,14.084207,4.6172786,9.7128181,85.669907,66.573845,NA,NA,NA,80.933937
"90","British Virgin Islands","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.86438,NA,NA,NA,99.86438,0,NA,97.992691,NA,NA,0,0.13561644,NA,NA,NA,NA,NA,NA,NA,NA
"91","Micronesia (Federated States of)","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.566483,64.625542,NA,NA,78.566483,0,NA,55.521893,NA,NA,NA,21.433521,NA,NA,NA,88.309334,NA,NA,NA,88.309334
"92","Tonga","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.90683,NA,NA,NA,99.90683,0,0,71.473495,99.90683,NA,0,0.093172252,NA,NA,NA,93.445274,NA,NA,NA,94.468834
"93","French Polynesia","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,0,0,98.700012,100,NA,0,0,NA,NA,NA,96.854614,NA,NA,NA,96.854614
"94","Barbados","Total",NA,NA,NA,NA,NA,NA,100,0,0,98.494446,88.885796,NA,NA,98.761993,0.26754624,0,98.379318,98.761993,NA,0,1.2380062,NA,NA,NA,97.279381,NA,NA,NA,99.171104
"95","Dominican Republic","Total",NA,NA,NA,NA,NA,NA,NA,NA,10.154358,96.690224,NA,NA,NA,97.030952,0.34072584,16.509937,94.554688,80.521011,NA,1.2986103,1.6704391,55.18198,15.804873,29.013147,83.893204,NA,NA,NA,94.990959
"96","Solomon Islands","Total",NA,NA,NA,NA,NA,NA,16.57,36.43,47,67.775955,37.225609,NA,NA,73.568398,5.7924409,27.327709,51.642963,46.240688,NA,11.554972,14.876631,35.889671,36.101849,28.008476,33.528355,NA,NA,NA,39.126331
"97","United Arab Emirates","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.045509,99.148659,NA,NA,99.953255,1.9077492,3.9313242,98.045509,96.021935,NA,0,0.046744291,NA,NA,NA,NA,2.3059838,3.0324409,3.0319126,99.349739
"98","South Africa","Total",NA,NA,NA,NA,NA,NA,77.745872,21.430315,0.82380944,92.678703,70.903427,NA,NA,95.468964,2.7902646,5.5107484,76.001373,89.958221,NA,2.6965621,1.8344713,43.992573,43.596371,12.411057,75.747101,NA,NA,NA,90.604172
"99","Sudan","Total",NA,NA,NA,NA,NA,NA,NA,NA,14.828163,60.26709,83.574799,NA,NA,86.956841,26.689749,41.195061,38.493828,45.76178,NA,9.3431644,3.6999962,23.437365,19.217722,57.344913,36.575031,NA,NA,NA,44.89436
"100","El Salvador","Total",NA,NA,NA,NA,NA,NA,83.830002,1.9468005,14.2232,97.388374,72.21711,NA,NA,97.609604,0.22122674,7.8821559,91.493523,89.727448,NA,2.379143,0.011255393,90.649681,6.6534553,2.6968601,87.433563,NA,NA,NA,98.300163
"101","Marshall Islands","Total",NA,NA,NA,NA,NA,NA,3.1900001,NA,NA,88.486435,NA,NA,NA,99.760567,11.274131,87.395088,83.152519,12.365478,NA,0,0.2394316,82.502167,15.113681,2.3841517,83.494057,NA,NA,NA,89.086357
"102","Trinidad and Tobago","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.184959,81.764343,NA,NA,99.301941,1.1169772,5.286191,98.184959,94.015747,NA,0,0.69806069,NA,NA,NA,93.398903,NA,NA,NA,99.302956
"103","Guinea","Total",NA,NA,NA,NA,NA,NA,10.038373,17.187582,72.77404,61.898724,NA,NA,NA,79.871658,17.972933,51.831787,39.007076,28.039869,NA,11.324709,8.8036346,17.449717,30.569281,51.981003,22.719271,NA,NA,NA,52.963924
"104","Curaçao","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.497749,NA,NA,NA,99.497749,0,0.62962884,99.182594,98.868126,NA,0,0.50224817,NA,NA,NA,98.950272,NA,NA,NA,98.950272
"105","Anguilla","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,97.482277,87.636566,NA,NA,97.482277,0,NA,88.373985,NA,NA,0,2.5177257,NA,NA,NA,96.702164,NA,NA,NA,99.080086
"106","Saudi Arabia","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,0,14.127974,99.009209,85.872025,NA,0,0,NA,NA,NA,NA,22.24786,11.12393,11.12393,100
"107","Syrian Arab Republic","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,97.216507,93.278915,NA,NA,99.422752,2.2062478,26.5086,80.808502,72.914154,NA,NA,0.57724601,70.598091,20.815361,8.5865498,91.22287,NA,NA,NA,99.147812
"108","Bahamas","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.886963,98.886963,NA,NA,98.886963,0,1.5997752,97.930138,97.287186,NA,0,1.1130395,NA,NA,NA,94.93058,NA,NA,NA,98.247643
"109","Thailand","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.93071,NA,NA,NA,100,0.069288425,29.70929,99.93071,70.29071,NA,0,0,83.923355,8.3427401,7.7339015,98.750732,NA,NA,NA,99.943916
"110","Turks and Caicos Islands","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.318184,NA,NA,NA,94.318184,0,26.363636,90.454483,67.954544,NA,0,5.681818,NA,NA,NA,87.98864,NA,NA,NA,87.98864
"111","Uruguay","Total",NA,NA,NA,NA,NA,NA,NA,NA,6.3008604,99.402367,100,NA,NA,100,0.59763956,0.079890966,98.79023,99.920113,NA,0,0,NA,NA,NA,96.596191,NA,NA,NA,98.931725
"112","Mauritius","Total",NA,NA,NA,NA,NA,NA,100,0,0,99.866333,72.90242,NA,NA,99.866333,0,0.0082315719,99.83532,99.858101,NA,0,0.13366865,NA,NA,NA,95.504837,NA,NA,NA,99.467392
"113","Madagascar","Total",NA,NA,NA,NA,NA,NA,NA,NA,80.739113,54.40398,42.37904,NA,NA,55.450966,1.0469859,19.942305,27.002987,35.508663,NA,12.705448,31.843584,NA,NA,NA,10.506761,NA,NA,NA,26.054274
"114","Algeria","Total",NA,NA,NA,NA,NA,NA,93.306709,0,6.6932869,93.555885,NA,NA,NA,98.695763,5.1398768,21.919012,81.202911,76.776756,NA,0.19029352,1.1139414,83.740601,7.8555164,8.4038811,NA,69.899094,3.6181731,0.63416409,95.957062
"115","Cook Islands","Total",NA,NA,NA,NA,NA,NA,100,0,0,99.879601,NA,NA,NA,99.879601,0,24.962542,87.347755,74.917061,NA,0,0.12039964,NA,NA,NA,97.626869,NA,NA,NA,97.626869
"116","Gabon","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,85.771004,NA,NA,NA,93.790695,8.0196915,7.0400019,70.270973,86.750694,NA,3.2893398,2.919965,NA,NA,NA,47.413277,NA,NA,NA,74.829903
"117","Botswana","Total",NA,NA,NA,NA,NA,NA,NA,NA,0,90.337715,NA,NA,NA,96.918182,6.5804725,6.4935136,79.086128,90.424675,NA,1.4990094,1.5828049,NA,NA,NA,77.269226,NA,NA,NA,82.83149
"118","Brunei Darussalam","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.900009,NA,NA,NA,99.900009,0,0.036372725,99.831894,99.86364,NA,0,0.099990912,NA,NA,NA,NA,NA,NA,NA,NA
"119","Angola","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.842903,30.814875,NA,NA,65.818573,9.9756651,25.266554,36.636021,40.552017,NA,15.386289,18.795141,26.664183,15.040511,58.295307,49.87698,NA,NA,NA,70.07679
"120","Cabo Verde","Total",NA,NA,NA,NA,NA,NA,NA,NA,2.3487906,87.083206,NA,NA,NA,96.228462,9.1452522,7.6988955,84.121635,88.529564,NA,0.12197924,3.6495607,NA,NA,NA,73.85379,NA,NA,NA,79.831116
"121","Wallis and Futuna","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.559273,NA,NA,NA,99.559273,0,0.21040778,99.015755,99.348869,NA,0,0.44072357,NA,NA,NA,99.121979,NA,NA,NA,99.121979
"122","Virgin Islands U.S.","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.718269,NA,NA,NA,98.718269,0,52.034348,97.935997,46.683922,NA,0,1.2817327,NA,NA,NA,99.371277,NA,NA,NA,99.371277
"123","Tokelau","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.624252,NA,NA,NA,99.624252,0,4.3797297,95.571053,95.244522,NA,0,0.37575024,NA,NA,NA,96.663849,NA,NA,NA,100
"124","Cameroon","Total",NA,NA,NA,NA,NA,NA,33.75,NA,NA,60.384865,NA,NA,NA,76.53598,16.151119,36.826248,30.965229,39.709736,NA,7.3327584,16.131258,9.4020662,5.3505187,85.247414,39.07555,NA,NA,NA,57.748375
"125","Turkey","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.875717,NA,NA,NA,98.875717,0,0,96.306122,98.875717,NA,0.12689479,0.99738705,NA,NA,NA,NA,32.096996,3.979861,2.8083038,97.879456
"126","Australia","Total",NA,NA,NA,NA,NA,NA,100,0,0,99.969933,95.874504,NA,NA,99.969933,0,8.7856016,97.378784,91.184334,NA,0,0.030064404,NA,NA,NA,NA,24.35128,2.8727882,2.2878191,99.99115
"127","Equatorial Guinea","Total",NA,NA,NA,NA,NA,NA,NA,NA,69.188545,64.665817,NA,NA,NA,67.623817,2.9579992,26.841846,16.707451,40.781971,NA,6.3384776,26.037704,NA,NA,NA,66.31279,NA,NA,NA,76.192291
"128","Fiji","Total",NA,NA,NA,NA,NA,NA,88.077003,5.4229999,6.5,93.790916,93.790916,NA,NA,93.790916,0,6.8246288,69.033852,86.966293,NA,2.0174003,4.1916804,NA,NA,NA,95.072174,NA,NA,NA,100
"129","Saint Maarten","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.07412,NA,NA,NA,95.07412,0,4.3288207,92.911636,90.7453,NA,0,4.9258804,NA,NA,NA,98.781029,NA,NA,NA,98.781029
"130","Venezuela (Bolivarian Republic of)","Total",NA,NA,NA,NA,NA,NA,97.489998,NA,NA,95.723709,59.142815,NA,NA,96.204735,0.48102367,8.7535238,87.375786,87.45121,NA,1.3782282,2.4170368,NA,NA,NA,NA,70.176453,0.89442307,0.22410764,93.93502
"131","Jamaica","Total",NA,NA,NA,NA,NA,NA,83.260002,NA,NA,90.648438,45.877792,NA,NA,96.034782,5.3863459,12.208385,83.772377,83.826393,NA,1.6615332,2.3036847,NA,NA,NA,87.312599,NA,NA,NA,98.964012
"132","Lesotho","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,68.64994,NA,NA,NA,78.224892,9.5749521,14.804191,25.134085,63.4207,NA,7.3226337,14.452477,2.1171114,2.7104163,95.17247,42.754322,NA,NA,NA,62.372765
"133","Afghanistan","Total",NA,NA,NA,NA,NA,NA,NA,NA,30,67.064621,NA,NA,NA,70.23867,3.1740446,48.565929,38.350941,21.672737,NA,10.877379,18.883953,37.746033,34.445061,27.808907,43.41761,NA,NA,NA,53.241589
"134","Bhutan","Total",NA,NA,NA,NA,NA,NA,59.442459,31.569368,8.9881744,NA,88.370728,61.070271,36.163113,99.734436,2.5010548,0,87.971687,99.734436,36.163113,0.02460276,0.24095921,NA,NA,NA,69.253937,NA,NA,NA,78.300102
"135","Morocco","Total",NA,NA,NA,NA,NA,NA,82.050003,5.0576978,12.892303,NA,87.958115,16.512074,80.741776,90.970169,4.1916566,12.966469,70.266441,78.0037,70.266441,2.926837,6.1029935,NA,NA,NA,NA,49.753494,11.303901,4.8139138,92.246948
"136","Saint Pierre and Miquelon","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.400002,8.2716999,91.400002,91.400002,0,0.89999998,83.128304,90.5,83.128304,0,8.6000004,NA,NA,NA,NA,NA,NA,NA,NA
"137","Niue","Total",NA,NA,NA,NA,NA,NA,100,0,0,NA,98.198746,0.98198742,97.216751,98.198746,0,11.29979,98.198746,86.898949,97.216751,0,1.8012578,NA,NA,NA,96.771492,NA,NA,NA,96.771492
"138","Chile","Total",NA,NA,NA,NA,NA,NA,NA,NA,3.6285715,NA,99.260262,1.1936215,98.639168,99.832794,0,0.22702026,99.470055,99.605774,98.639168,0,0.16720881,NA,NA,NA,NA,22.535179,3.2977242,2.6666522,100
